,HC,HC,HC,HC,HC,HC,HC,HC,PC,PC,PC,PC,PC,PC,PC,PC,PC,SC,SC,SC,SC,SC,SC,SC,SC,SC
Apo E4,92.5,72.8,67.9,79.7,85.1,75.3,88.6,71.8,65.9,69,71.4,72.8,79.8,109.3,70.5,61.5,81.7,74.6,58.9,84.6,66.5,139.2,60.3,79.6,82.1,85.1
Hemopexin,34.9,34.4,30.5,37.7,21.6,32.3,35.2,34,30.2,24.8,33.6,36.4,40.3,33.6,29.9,34.3,27.2,33.3,21.7,35.2,38.4,1498.8,30.6,24.5,34.6,36.9
RNF43,204.4,228,236.4,189.1,191.3,185.1,319.6,184.7,196.1,178.4,214.7,229.8,195.8,180.7,169.7,211.2,219.8,222,188.6,189.6,193,215.1,245.9,213.3,189.1,398.8
TNF-b,109.3,105.8,162.1,119.9,152.3,109.2,116.5,111.8,113.6,152.5,98.9,110.8,120.9,177.6,123.7,137.5,107.7,103.5,113,109.9,119.9,92.7,150.6,109.8,106.5,172.7
GRB2-related adapter protein 2,77.5,86.5,214.3,82,121.7,84,80.2,82.6,82.9,78.2,81.8,89.6,113.7,77.6,75.4,92.7,87,91.9,71.4,86.5,85.3,62.4,89.8,76.6,81.9,102.6
Thyroglobulin,79.6,66.5,51.1,59.8,41.6,99.9,54.4,71,53.6,55.7,60.7,78.7,59.7,63.2,62.9,68.3,54.9,55.6,58.3,51.4,75.6,52.3,44.9,66.5,107.5,48.2
CHL1,74.1,81.6,275.2,76.3,147.4,72.2,80.3,84.1,74.9,81.5,82.7,88.1,99.3,80.3,73.8,84.4,80.2,78.2,72.2,75.3,81.5,65.9,96.6,81.8,81.2,95.7
CD23,69.2,58.5,60.6,75.2,68.6,78.8,78.8,50.6,64.8,64.6,70.3,62.5,56.1,88,59.6,51.2,60.3,63.3,84.6,94,85.2,235.1,63.3,57.2,55.8,51
STX1a,56.8,55.8,54.3,58.4,71.4,56.2,66.1,53.4,59.3,56.9,58.4,56.7,62.2,52.9,54,57.8,64.7,56.2,62.2,63.3,55.6,47.2,57,59.6,55.8,52.9
IMDH1,55.4,74.5,74.5,59,59.5,54.5,59.9,59.6,75.5,60,89.2,66.3,64.9,62.4,57.9,66.6,55.9,58.7,48,79.2,68.5,59.2,65.7,55.5,61.9,75.1
GP1BA,78.3,79.1,113.2,82.6,112,88.2,78.3,79.5,73.9,90.8,75.3,82.6,88.2,69.9,83.1,84.3,77.6,81.2,67.4,84.4,81.5,195.9,83.3,70.5,77.7,85.7
MSP R,101.6,68.8,76,66.9,143.4,78.7,90.2,69.5,68.7,103.4,74.1,69.1,73.9,67.8,89.2,63,104.3,102,84.7,79,58.9,58.9,79.7,96.8,73,40
DUS3,55.3,48.7,38.1,45.7,65,55.3,60.5,49.6,53,55.6,48.3,49.4,47.3,47.5,50.6,39.5,78.9,45.8,50.6,53.8,44.2,55.8,44.8,216.7,49.8,39.1
TIMD3,75.7,78.4,115,91.9,141.6,90.5,91.7,90.2,95.8,152.5,77.4,77.8,86.9,108.2,111.9,86.1,128.9,85.1,136.6,101.1,80,84.7,81.2,97.2,81.2,80.4
Gelsolin,47.2,48.4,77.4,64.7,73.6,64.7,64.8,59.6,71.5,51.1,55.8,52.2,66.2,76.8,53.8,68.4,58.6,82.2,100.4,67.2,53,92.9,51.9,47.9,64.9,44.7
CATF,277.7,329.4,260.6,304.1,813.4,839.9,421.4,174.5,314.7,170.3,230.9,192.2,162.7,257,164.1,204.1,190.7,286.1,351.9,372.6,166.3,380.3,584.9,294.6,296.9,178.9
CK-MM,786.6,671.1,368.1,2719.2,375.2,491.7,1715.4,3861,357,92.5,1859.4,642.6,104.8,224.3,258.1,493.3,392.4,5228.8,9306,553.7,213.2,587.3,101.5,413.8,2972.5,134.2
Cathepsin V,116.8,162,111.4,138.4,146,210.9,293.8,142.7,141.2,105.7,122.1,112.3,109,510.7,100.5,117.2,100.2,189.9,94.5,82.3,904.4,204.2,100.7,182.1,90.6,156.7
ILT-2,44.6,52,46.1,46.8,51.9,45.3,53.7,54.4,46.8,93.2,45.9,53.4,52.1,83,136.9,53.7,81.6,54.5,45.8,42.1,56.4,178.5,46.3,58.6,50.6,37.5
NSF1C,53.9,37.3,26.7,53.8,33.9,44.6,59.6,46.5,64.3,65.9,48.4,49,41.4,251.6,101.4,29.3,226.3,50.7,38.5,32.9,95.3,75.2,38,122.1,45.1,31.9
dopa decarboxylase,42.8,48,42.1,44,35.4,42.5,50.2,47.6,44.8,45.1,52.5,47.3,54.7,43,54.4,42.3,54.2,47.2,35.5,47.7,47,34.2,45,42.7,47.4,37.2
CD63,307.4,214.8,380.7,432.5,163.9,388.6,184.6,418.1,212,299.8,289.2,176.8,196.7,298.3,250.6,157.5,230.9,229.9,502.2,631.4,132.2,228.6,174.6,281.1,759.4,420.4
HPLN1,77.7,77.8,100.6,90.6,86.5,74.8,69.2,72.1,78.8,93.9,118,632.9,67.2,106.4,123,87.2,73.2,157.5,229.7,69.3,2448.7,193.6,67.3,70,94.2,65.7
RUXF,198,248.4,422.1,327.4,145.9,353.3,159.4,214.8,239,125,235.8,134.3,126.2,282.6,166.4,165.2,226.2,200.3,300.9,267.8,112.2,329.5,150.8,234.8,224.2,200.5
Cathepsin D,66230.8,90919.7,27703.5,133444.4,24223.6,96365.3,59138.9,57389.7,93135,184898.2,77830.9,215762.8,10140.7,150688.9,123312.7,136712.4,27142.5,56496.8,95901.1,16919.4,114475.2,246889.5,53389.1,102414.3,61860.6,90751.8
TECK,146,86.8,63.3,77.5,82.3,89.8,79.8,85.6,71.9,75.9,77.1,59.7,62.8,113.9,80.8,65.1,116,78.1,58,93,58.2,93.6,111.6,121.3,69,50.7
HSP 60,180.8,182.9,192.1,241,180.3,194.1,213.2,182.1,161.8,166.2,207.1,184.7,152.1,159.1,144,223.2,196,158.5,218.7,185.2,622.5,3979.4,211.7,167.9,171.9,249
GSTA3,14.5,18.4,24.2,16.2,21.8,20.7,16.3,20.4,17.4,17.2,15.1,22.2,23.7,15,15.4,13.8,14.4,22.4,21.2,13.5,17.4,13.2,15.7,17.5,17.2,30
C34 gp41 HIV Fragment,132.2,114.1,201.7,122.6,114.8,125.3,123.5,124.7,143.2,143.7,148.8,109.6,488.5,92.1,146.6,130,133.7,197.3,93.2,116.8,131.8,114.9,120.6,149.7,146.9,222.4
GDF-11/8,96.9,94,84.1,119.8,69.2,87,84.7,95,77.1,77.7,84.8,316.5,75.3,75.4,80.5,86.8,87.4,83.7,107.5,126.8,76.3,97.9,78.2,73.2,141.4,97
HRG,157.1,261.7,245,221.4,137.2,148.1,134.7,184.7,264.7,134.2,192.2,272.7,307.7,239.6,137,276.8,162,181.6,144.5,153.2,232.8,1506.1,208.3,126.4,190.7,355
pTEN,87.9,91.2,89.5,81.2,120.1,86,128.2,87.4,104.1,118.3,86.5,86.8,98.5,106.7,106.4,100.5,197.3,93.7,87.8,70.8,92.8,92.5,97.2,173.3,75.1,112.9
Sialoadhesin,29.1,29.5,23.9,28.1,17.2,27,46.6,33.2,27.9,24.5,31.2,29.7,35.9,28.2,30.3,37.8,33.4,32.4,23,33,31.7,21.2,27.8,29,34,33.5
HCE004359,1201,1192.9,1205.5,1225.9,1179.6,1203.2,1187.9,1176.2,1200.5,1208.3,1201.3,1221.8,1207.6,1207.6,1163.6,1243.1,1185.7,1184.9,1205.8,1187.8,1194,1189.8,1184.5,1178.9,1218.1,1188.6
DBNL,1356,1226.3,1378.2,1485.5,963.6,2213,1070.9,1585.2,1707,1262.6,972.5,1045.6,1103.1,1058,921.4,2539.2,1202,983.9,799.1,2234.2,1533.7,1109.7,924.4,1061.2,1482.1,2377
SET,376.7,1083.2,391.3,359.4,172.7,373.4,282.9,488,393.3,360.8,414.5,419.1,834.2,459.5,392.1,435.2,209.6,228,219.1,329,937.4,268.3,1091.8,619.3,635.1,934.4
ghrelin,82.8,88.1,229,93.4,132.9,86.1,86.2,84.6,95.7,96.7,88.2,98,101.1,85.3,86.6,102.1,88.2,100.9,102.6,102,95.1,74.7,117.7,78,87.2,143.3
PTP-1B,730.7,1125.2,431.5,545.1,420.2,683.8,258.9,280.5,494,445.7,543.9,249.3,418.5,554.5,466.1,275.2,371.5,515.6,1071.9,572.1,192.1,600.3,318.2,510.3,409.7,360.7
a2-Macroglobulin,393.1,167.9,102.1,907.9,105.4,111.8,252.5,113,968.1,398.2,329.2,143.9,92,323.9,494.6,105.1,500.7,223.6,461.5,80.3,2998.3,8655.2,126.9,258.3,91.1,112.9
MIP-5,571.3,4492.1,1276.5,2419.9,111.9,957.9,279.9,1728.3,267.3,157.6,542,10568.8,932.7,341.3,178.2,4002.6,211.1,1540.4,538.4,560.9,38900.3,6337,416.6,205.8,2108.4,4139.7
ADAM 9,135,111,126.5,305.1,89.1,172.6,161.3,95.4,513.5,135.1,194.5,120.5,88.8,384.9,272.2,128.2,124,732.6,870.4,99.5,125.3,1577.1,73.4,190.1,121.3,110.1
CDK1/cyclin B,73.7,60.2,43.5,55.8,82.1,58.7,69.5,60.8,50.8,58.6,61.1,47,55.1,67.4,60.9,45.5,72.1,56.1,61.2,62.5,46.5,57.4,55.4,77.8,87.2,34.7
CD22,338.7,155.5,133.4,160.8,233.3,244.6,188,118.4,149,189,181.2,99.9,109.3,172.1,188.8,117.1,275.5,133.6,190.5,170.3,91.4,181.8,232.1,333.8,168.2,112.3
NID2,277.9,188.4,239.5,173.3,213.5,179.4,267.2,380.2,214.9,222.5,196,353.2,111.2,410,240.7,315.9,378.7,206.2,255,138.7,203.4,1183.8,177.6,377.1,223.8,148.9
MMP-14,60.5,84.1,68.1,75.8,49.8,55.4,54.5,81.1,53.2,56.4,58.2,121.9,61.2,49.3,49.5,113.5,48.4,61.4,42.5,57.1,280.8,192.3,58.1,44.8,60.6,51.3
DAPK2,211.1,142.9,806.4,138.8,249.9,178,126.7,126,212.9,146.2,157.6,136.7,173.8,211,122.7,130.3,128,192.5,254.2,137.8,158.5,171.3,361.2,175.5,143.5,166.4
OMD,59.1,83.2,97.1,85.9,68.2,55.4,58,63.6,67.8,63.7,62.7,76.3,78.5,58.5,56.3,76.6,51.7,57.1,45,68.8,68.9,80.1,86.9,46.3,62.8,69.4
MAPK5,168,118.6,141.7,99.7,136.5,139.2,119.6,112.7,155,135.3,123.4,119,115.1,164.4,121.8,136.8,159.9,128.8,131.8,114.4,128,121.6,211.5,156.2,109.4,159.8
MED-1,3144.1,4358.7,3416.1,5538.1,1606.7,3817.4,2890,3702.8,3580.6,1703.6,1985.4,4303.7,4888.9,2747.2,1626,5417.6,1803.9,1945.8,1670.9,3061.2,7492.8,2076.9,5860.4,1412.9,3060.2,14484.6
14-3-3 protein zeta/delta,857.2,435,437.7,1931.7,272.9,526.7,1676,1193.2,1699.5,611.4,1505.3,1401.4,257.4,620.2,2169,731.6,728.8,3815.8,5808.3,385.1,507.5,36793.2,131.1,1341.3,1422.3,394.1
FN1.3,245.9,322.9,223.7,251.4,84.1,187.4,189.8,227.9,1110.4,257.9,129.9,746.9,58.3,538,524.1,100.7,112.3,126.6,345,235.9,4266.5,18980,65.7,222,431.1,42.5
ARMEL,65.1,76.5,118.3,86.5,74,74.6,68.3,69.6,82.1,58.8,68.5,82,83.3,72.3,61.6,87.7,59.4,78.8,71.9,81.1,81.2,75.1,93.6,55.5,65.5,104.5
Apo E3,186.9,131.3,128.9,120,164.9,219,165.4,125.4,137.5,146.4,145.4,109.4,130.9,140.6,161.6,110.7,217.5,113.9,159.2,173.8,97.9,141.9,127.8,143.3,159.9,198.9
3HAO,180.2,154.8,171.3,389.3,247.2,572.2,219,173.2,528.8,255.9,291.9,143.7,326.4,323.7,302.6,151,234,215.4,334.4,443.9,140.7,364.1,91.8,180,481.1,1112.3
TFF3,223179,418800,234899.8,219170.6,25403.3,176537.9,49514.9,172428.9,48146.8,57968.1,106387.8,429824.1,530274.6,10561.7,41344,430125.9,10352.9,101721.6,50061.4,108004.4,462737.4,90791.1,201991.8,19741.9,191758.4,289439.9
HCC-4,164.3,323.8,262.1,218.7,77,83.3,56.8,188.1,45.5,85.8,78.7,910.6,168.7,153.9,65.8,450.3,80.8,91.8,55.2,92.8,850.4,475.1,180.6,66.9,235.5,524.6
C6,893.4,287,135.6,246.3,458.8,505.5,583.6,341.8,268,443.4,368.3,137,186.2,775.7,433.7,184.2,773.1,194,329,288.2,117.2,6115.9,437.6,765.1,424.1,206.1
JAML1,101.3,105.9,172.9,103.1,117.7,105.1,94.5,98.3,87,95.6,259.2,144.5,124.6,86.3,100.3,143.2,218.6,106.4,71.7,113.4,113.8,73.8,98.7,87,102.5,173.3
PF-4,88.7,66.5,69.8,74.9,94.6,94.1,142.4,77.8,91,87.7,81.6,53.9,85,83.3,79.5,61.5,100,76.5,86,74.7,339.7,242.3,142,90.8,87.7,63.5
MK13,64.9,67.2,83.6,64.4,73.1,63.7,72.2,65.3,64.6,72.6,69.5,69.4,114.4,53.7,73.8,77.6,60.8,69.4,56.4,66.3,67.4,50.8,82.3,65.1,63,74.8
REG4,251.4,97.6,135.7,125.5,87.2,105.6,93.7,125.2,85.2,125,180.9,103,95.9,159.1,188.8,112.8,133.5,3096.7,93.2,94.7,765.3,2586.9,91.9,151.6,95.8,115.4
PSA1,231.6,251.6,217.4,238.2,184,207.1,172.4,180.1,281.3,92.1,297.7,150,96.9,405.4,91.9,279.3,139.1,86.4,202.1,141.3,311.8,483.4,111.1,89.7,339.4,207.4
Cardiotrophin-1,140,109.1,103.8,106.1,110.4,116.6,116.9,94.6,111.1,100.6,149.7,100.5,107,99.3,115.5,108,113.1,152.9,196.4,126.7,92.2,85.5,107.6,137.5,96.7,133.3
TGF-b1,927,348.8,166.3,359.6,480.8,488.2,615.2,270.3,319.1,549.4,480.2,155.1,206.3,385.9,558.9,192.3,1201.5,229.2,415.7,273.1,121.5,490,377.6,1122.6,486.3,259.9
OCAD1,1439.8,1753,1668.5,1510.2,894,1330.1,1344.8,1541.1,1390.1,1022.1,1344.3,1729.4,1932.4,1322.1,1128.4,2048.4,1023.1,1285.5,786,1437,1851.5,1137.3,1521,981.1,1443.3,4287
Discoidin domain receptor 2,469.7,171.6,392.2,171.4,232.7,216.6,281.2,174.2,280.2,243.9,293,191.5,171.2,264.7,257.4,193.4,482.8,261,475.3,314,167.4,241,260.4,386.1,165.6,385.4
CLC4K,39.3,47.1,37.3,43.1,37.4,41.1,41.3,41,39.7,36.6,40.7,42.4,45.3,40.1,41,32.8,44,39.4,33.9,45.8,42.3,29.5,41.6,37.8,44.8,36.6
SOD,81.6,74.1,99.2,88.1,224.7,108.1,98.2,96.1,90.7,203.2,70.8,117.1,71.3,66.6,108.1,84.8,113.1,74.5,145.4,112.2,101.7,130.6,90,94,103.9,75.4
Cytochrome c,7258.2,32440.2,26615.6,30996.2,547.5,1420.1,2229.2,8273.7,2324.6,4712,1524.6,38873.2,4141.3,9003,5455.8,3063,6583.5,8296.5,2226.6,1599.8,41020.8,4779.5,21087.3,12217.6,3588.7,35379.2
"CD40 ligand, soluble",128.2,39.1,32.9,37.7,67.2,57.8,160.1,66.5,34.4,150.6,110.6,35,36.9,37.5,226.2,33.1,157.1,158.6,85.3,47.1,34.3,85.6,131.7,249.9,45.5,29.7
IL-1b,259.2,241.3,472,211.6,634,488.4,405.6,567.2,379,969.2,282.4,250.5,243.9,766.7,591,315.2,365.2,444.2,386.8,499.2,272.9,300.7,878.5,605.5,292.7,423.5
RAD51,82.9,64.1,64.9,75.5,115.7,94.1,75.6,77.2,72.6,105.6,85.3,84.9,86.2,60.9,60.8,58.7,88.7,72.2,105,89.1,77,98.2,56.2,78.3,66.3,120.4
SHP-2,320.3,212.6,198.8,397,163.1,136.5,351.9,228.9,192.5,245.3,311.7,197,242.9,362.8,228.4,213,289.4,175.8,125.9,290.4,198.1,256.6,202.4,125.2,334.5,1143
HCG,53.9,63.9,56.6,56.9,41.8,55.7,57.5,60.8,53.9,47.9,58.9,61.8,69.1,48.9,51.1,62.8,51.7,60.5,43.5,66.2,61.3,54.7,55.3,44.1,93.8,58.8
MFRP,178,175.4,591.1,201,351.5,270.9,210.2,206.1,285.2,288.4,162.1,205.5,150.2,289.5,194.5,282.8,248.3,263.6,411.2,173.6,166.5,201.3,261.1,213.1,166.4,298.7
RGMA,4454.6,1422.4,1472.8,1840.5,1901.9,2311,1656.8,2701.9,2159.7,1868,2955.9,1205.1,1800.4,1915.7,2963,1463.8,1638.9,1822.5,1754.7,1653,1124.5,2792.9,1241.4,2255.3,2119.4,2489.6
PARK7,228.5,434,555.2,271.5,101.8,242.4,125,411.9,290.5,247.2,320.1,152.1,449.6,392.9,171.5,194.5,159.4,153.1,137.3,211.8,165.8,175.2,942.1,210.8,254.9,460.8
IL-2,75.5,83.8,118.1,80.6,74.8,114.5,97.7,82.4,75.8,113.1,79.8,99.5,89.9,83,69.4,92,83.3,102.9,68.2,90.1,79.3,64.3,86.2,67.1,87.5,119.2
RAC3,197.4,178,891,239.5,379.9,211.1,273.2,255.1,250.2,421.4,372,156.5,170.3,547.4,322.8,197.9,291.3,274.9,397.1,212.7,158.5,246.1,298.3,299.8,221.8,303.7
Fibrinogen g-chain dimer,1246.7,949.2,522.9,5244.8,409.7,1294.8,791,1316,2050.1,572,6140,1428.2,267.5,2343.4,757.8,833.5,688,1609.2,11092.6,423.8,1025.1,251198,916.4,1292.8,642.7,841.5
JAM-C,169.7,101,96.6,90.8,151.4,131,132,83.1,98,155.6,125.1,76.3,80.1,106.9,164.2,90.7,196.7,93.9,155.2,101.9,73.2,120,125.8,149.9,126.4,64.1
FGF-6,92.6,53.2,34.5,53.3,70.8,70.6,94.1,60.9,50.3,74.8,81.2,44.9,51.6,93.9,92,39.2,141.1,54.5,61.9,47,42.1,62.6,61.6,154.2,71.7,33.5
PKC-Z,714.1,241.6,126.7,213.4,391.6,438.3,495.6,227.8,241,433.4,400.2,119.1,268.8,288.4,519.8,170.5,1371.7,184.3,315.3,225.6,95.6,300.3,333.1,858.9,368.5,331.6
ETHE1,102.8,137.9,125.7,126.2,120.4,129.5,131.9,110,102.3,115.3,145.3,148.4,117.4,102.2,128.4,135.8,129.2,126.1,127,130.5,121.5,92.1,117.6,114.7,104.9,209.6
RANTES,38.2,44.4,65.6,46.8,42.6,38.7,37.1,45.5,44.2,41.8,43.3,54.9,48.4,34.5,38.8,55.1,34.2,42.5,66.2,42.1,140.2,75.3,51,33.6,44.1,30
TNFSF15,86,75.5,72.6,72.4,98.9,77.4,97.2,79.9,79.4,90.3,82,66.7,73.6,107.7,92.5,71.7,89.9,66.8,86.9,76.6,70.3,74,97.9,108.3,85.7,71.3
LIGHT,75.8,88.6,189.2,83.3,120.8,70.1,77.4,79.1,82.7,93,81.5,94.3,92.4,70.8,76.5,94.8,72.6,81.4,71.7,91.2,87.1,121.6,90.9,67.9,84.1,141.4
HXK1,150.8,162.3,446.5,160.3,185.5,145.3,148.6,153.3,164.2,154.1,162.8,186.6,176.3,139,133.4,187.4,139.6,152.1,145.1,160.8,166,135.5,194.2,131.3,151.7,318.8
Thrombospondin-1,110.2,75.5,66.5,551.6,99.1,71.2,136.6,133.9,215.4,83.4,75.7,53.5,53.8,211.2,137.6,73.4,161.9,525.7,160.4,68.5,683.6,151.5,77.1,144.4,70.4,45
M2-PK,144.6,56,50.3,155.8,93.3,228,194.4,69.3,647.1,74.6,93.2,59,52.1,96.8,256,73.7,133.1,233.1,254,52.5,68.6,108.2,49.6,161.4,62.4,46.3
Insulin,35,31,25.1,26.7,32.5,28.6,44.8,58.2,25.6,45.9,27.1,30,30.2,191,60.7,36.6,80.3,39.7,25.9,23.8,32.5,30.3,30,60,29.8,30
SAA,50.5,55.6,67.1,50.2,54.4,46.7,47.4,51.2,52.6,53.8,48.6,61.9,70.1,48.8,65.4,67,52.8,50.8,38.5,53.6,55.6,39.5,53.9,54.6,53.7,37.2
SEM6B,60.1,63.9,92,62.3,94.4,64.5,84.6,71.2,68.3,109,60.8,66.5,68.7,98.4,86.2,80.5,150.4,69.4,76.6,60,69.9,58.7,92,102.6,57.7,67.6
NANOG,37.4,36.9,31.9,35.9,29.6,34.7,35.8,35.4,35.1,28.9,35.2,33.8,37.2,34.7,35.1,33.4,32.9,34.5,30,36.2,36.9,25.2,33.1,34,39.2,35.7
VEGF-C,72.8,71.5,99.6,73.1,131.1,78.6,138.8,138.1,78,158,79.2,70.8,74,244.2,138.9,80.9,148.2,97.1,110.7,78.6,76,105.7,86.5,143,92.3,78.8
PAK3,67.3,59,60.7,69.9,81.2,75,56.4,69.8,54.6,65.7,66.7,80,81.6,47.7,39.5,65.3,63.2,61.7,64.3,80.8,75,63.2,39.5,55.8,58.1,81.6
IL-10,53.4,56.4,49,52.5,48,50.1,59.6,51,43,44.8,52.4,50.8,59.3,53.3,51,45.6,55,50.6,39.2,55.7,52,34.6,51,52.4,52.1,56.6
BAFF,67.9,81.7,128.9,82.9,91.7,101.1,74.1,75.8,88.7,72.7,113.1,81.7,80.8,76.9,73.7,78.7,82.3,99.5,69.9,90.6,80.1,83.2,79.1,80.8,74.1,82.6
Notch 1,51.6,56,68.9,67.9,59,63.9,50.8,54.4,58.6,62.3,51.9,106.7,51.5,66.8,60.2,53.4,84.8,107.4,52,58.4,247.4,167.3,58.3,53.5,59,44.4
CDK8/cyclin C,139,107.1,128.9,127.4,164.1,174,135.3,160.4,171,148.8,120.4,94.9,97,169.9,145.4,91.6,164.6,164.1,390.3,129.3,79.2,152.3,97.9,249,84.9,115.1
RELT,114.7,125.1,105.5,108.3,86.6,100.4,112.8,106.1,104.1,83.4,113.4,128,146.5,102.2,96.1,151,88.8,110.6,68.5,108.3,142.1,75.8,120.2,91.8,119.2,221.8
Ku70,36.6,35.9,28.8,32.9,25,29.4,32.8,35.6,33.5,29.2,38,36,40.2,32.3,36.3,38.2,38,33.3,24,31.9,37.1,24.1,35.8,32.8,33.7,28.8
sRAGE,35.2,42.2,33.6,33.5,27.8,35.1,36.5,38.9,36,30.5,41.6,39.8,43.2,30,34.6,34.6,34.2,36.9,26.9,35.7,39.5,24.5,35.7,34.9,39.5,40.4
protein Z inhibitor,100.7,106.5,164.9,106.5,157.7,98.5,104.4,97.1,114,123,119.7,117.8,115.2,89,114.8,124.2,114.5,101.8,95.4,112.7,107.3,103.7,142.9,114.3,100,174.5
VEGF-D,49.2,53.1,64.7,54,39.7,51.4,53.6,54.2,46.8,45.8,47.9,56,65.1,56.8,54.5,64.5,69.5,51.7,38,45.2,65.3,159.3,51.1,54.6,51.7,34.1
SCGF-beta,52.8,51.2,54.5,51.2,51.4,56.7,51,49.7,57.4,51.5,68.8,48.9,52.6,50.8,53.5,52.4,53.4,61.4,53.2,63.9,46.9,45.1,51.1,46,49.4,60.1
CD226,109.2,104.8,226.2,104.8,220.2,162.2,136.5,136.7,144.7,225.3,111.6,112.9,113.4,216.1,157.2,110.3,126.9,124.8,125.5,130.3,110.6,111.7,179.1,135.2,120.8,155.8
ROR1,36.4,45.5,41.1,42.4,23.8,36.7,34.8,42.4,38.5,27.5,40.1,49,49.5,35.7,33.9,52.7,27.8,41.4,22.3,37.6,48.2,25.8,38,29.5,40.6,42.2
IL-4 sR,55.9,68.4,60.2,62.4,37.7,50.5,55.1,63.4,56.7,42.6,59.4,63.1,75.3,56.1,48.4,73.3,49.8,65.2,33.9,61,68,39,55.3,44.7,59.1,59.1
Caspase-2,59.4,61.5,64.8,69.1,61.9,57.5,55,58.8,56.7,51.6,54.4,62.9,67.5,49.9,56.4,55.8,56,59,51.2,51.5,70.6,65.5,58.4,52.3,59.9,75.4
sL-Selectin,136.8,148.8,610.6,153.8,230.7,143.1,213.8,133.3,146.6,115.7,148.2,179.5,174.4,126.9,120.6,151.3,125.2,161.9,144.7,146.6,157.4,405.5,169.4,125.5,164.8,261.2
Transferrin,266.8,347.6,136.6,3159.3,55.1,139.1,469.4,873.4,207.4,82.9,742.7,188.3,77.6,287.2,162.4,95.8,63.5,185.4,312.1,79.7,515.7,130665.8,59.1,135,1130.7,87.6
IL-1 R AcP,146.4,97.8,119.1,113.4,200,159.7,139.4,117.7,109.5,176.2,106.2,111.5,97.6,115.7,136.4,95.1,192.1,122.1,172.5,143.6,104.6,127.6,105.8,130.4,142.2,101
Prekallikrein,55.5,50.9,33.8,134.6,34.9,40.7,84.7,51.2,39.1,37.8,45.3,36.9,41.8,53,48.2,32.8,51,48.4,36.4,37.1,44.7,354.1,38.6,59.6,66.1,32.2
SNP25,134.2,157.5,219.4,148,147.3,138.8,150.7,155.8,142,130.7,165.3,155.4,143.6,117.4,118.7,140.1,156.9,132.6,124.3,200.4,154.6,124.7,156,137.7,153.8,265.6
SNAA,45.1,37,29.2,48.2,45.9,36.2,178.4,47.2,46.1,174.6,53,36.3,33.4,76.1,325.7,44.1,1294.8,56.3,121.3,33.9,34.2,46.3,38.7,312.1,52.2,30
IL22RA1,134.6,105.9,781.7,103,248.4,137.8,154.6,135.6,127.2,199,121,94.5,97.7,126.3,167.9,99.4,178.7,110.4,164.3,117.2,92.8,146.4,200.5,196.9,121,134.8
C9,59.4,48.2,71.2,93,52.5,43.9,569.7,59.7,227.3,39,48.5,53.6,51.6,78.6,45.9,43,59.4,77.6,753,42.5,82.4,1270.4,51.9,95.2,53.7,40.4
Glucocorticoid receptor,71,69.7,61.6,68.4,66.5,71.5,85.7,72.1,64.9,98.1,64.8,64.5,72.6,71.8,109.4,79.3,154,64.2,49.6,75,69,72.4,69.6,107.3,70.6,80.4
IDS,235.8,133,93.8,197.9,167.9,202,161.3,137.3,235.1,220.8,201.8,220.1,111.6,349.5,184.7,130.4,170.7,163.9,235.1,94.7,468.7,1067.7,142,206.6,124.4,132
Notch-3,91.3,92,193.8,97.7,139.4,92.7,92.3,91.6,87.5,91.4,105,104.2,113.1,85.8,87.8,98.4,87.6,97,83.5,90,103.7,167.8,103.3,79.9,91.7,132
HPV E7 Type18,300.9,315.1,183.5,226.2,302.7,1131,368,337,1381.6,591.2,455.9,139.6,927,490.2,363.6,135.4,319.9,160.1,2843.3,266,188.4,1638,355.4,945.2,223.2,1075.7
OBCAM,376.4,371,1685.7,449.1,726.3,793.4,545.2,341.4,1162.5,714.1,315.6,303.2,298.9,1495.6,389.9,324.2,418,379.7,749.7,447.3,608.1,1575.3,703.9,403.4,376.6,623.4
Fibrinogen,1367.2,846.9,546.4,7930.9,165,956.7,358.6,936.9,7131.9,697,5866.1,3173.7,79.8,3646.4,1354,1030.8,569,1726,28167.4,127.4,1698.9,289490,279.9,748.8,962.8,155.8
TFPI,144.2,160.3,134.5,149.7,123,132.4,156.3,159.9,128.7,160.1,121.6,162,170.2,124.5,154.1,182.7,165.2,124.3,121.4,108.7,188,135.2,133.6,160.9,133.3,308.1
WISP-3,107.6,125.7,228.3,118.7,154.9,163.3,131.2,108.8,132,170.3,156,131.9,125.7,122.6,249.2,131.1,126.2,136.8,120.2,145.6,112.6,111.9,151.4,121.7,104.5,182.1
TYK2,835.8,1297.2,1505.5,2592.1,704.5,1707.1,662.8,1070.8,1474.2,829.3,1284,688.9,730.5,1551.3,793.5,828.7,857.1,862.7,1205.2,980.5,718.5,2657.4,2673.3,1996,630.2,1494.9
TGM3,238.2,564.9,222.7,546.4,275.5,488.1,424.1,308,326.9,167.7,423.1,413.5,469.5,506.6,191.8,324.7,211.9,268.4,342.1,259.7,441.6,804.3,232.8,221.4,258.6,912.5
BOC,40.9,44.5,37,40.2,27.9,36.8,41.1,41.6,36.6,30.2,39,45,48.6,35.9,35.6,37.4,34.5,39.3,25.3,37.7,45.5,28.9,37.9,32.7,41,46
